0.030047,-0.300889,0.036819,-0.171919,-0.390930,0.357809,-0.447272,0.414459,-0.146605,-0.338271,0.092190,0.338006,0.085957,0.244333,0.104278,0.304675,0.442677,-0.177280,-0.020996,-0.303598,0.499177,0.501956,-0.510024,0.151431,0.297253,-0.391750,0.021475,0.452568,-0.449025,0.223791,-0.182135,0.385959,0.516896,0.524736,-0.082985,0.279277,0.197607,-0.266421,0.293731,-0.417846,0.055106,-0.303114,-0.430396,-0.493532,0.180607,-0.135551,0.141661,-0.488179,-0.332931,-0.068877,0.263364,-0.169830,0.122950,0.436832,0.049764,-0.156720,-0.519657,0.377909,-0.546571,0.306185,-0.144972,0.313008,0.226238,0.469705,-0.165254,0.297097,-0.324252,0.093230,0.120873,0.371812,0.409274,0.150338,-0.249089,-0.184887,0.280821,-0.241242,-0.430731,-0.028173,-0.405935,-0.138124,-0.218320,-0.416439,-0.567092,0.353572,-0.222189,-0.173616,0.164797,-0.284364,0.324891,0.301884,-0.464198,-0.202726,0.394048,0.500210,-0.089559,-0.022218,-0.497660,0.447160,-0.267638,0.306871,-0.011797,0.117867,0.120118,-0.413415,-0.426837,-0.304273,-0.404100,0.132143,-0.309503,-0.562118,0.443215,0.379615,0.352405,0.477613,-0.301926,-0.076567,0.127478,0.026265,-0.379959,0.205182,-0.432631
-0.197763,0.006445,0.015756,-0.033489,-0.396675,0.492164,-0.140055,-0.351704,0.443888,0.555869,0.369439,0.248593,0.152738,-0.008616,-0.539312,-0.267469,-0.229505,-0.211572,0.146551,-0.065406,-0.377177,-0.357553,0.237415,-0.561126,0.370364,-0.043838,-0.139644,-0.070909,0.347012,-0.095329,0.270852,0.146311,-0.130462,0.342291,0.211793,-0.017158,0.352343,0.342848,0.038369,0.336665,0.233378,0.195961,0.115484,0.260782,-0.467816,0.325138,0.281882,-0.659166,0.344120,-0.384208,-0.310495,0.205688,-0.375000,0.294193,0.402529,0.020756,-0.638628,-0.132938,0.009850,0.301217,0.195650,-0.240061,0.008866,-0.017960,0.244155,-0.605721,0.247513,-0.055917,0.361738,-0.136666,0.004229,0.287902,-0.365820,0.419343,0.123124,-0.479428,-0.198457,0.033560,-0.356580,-0.127045,-0.031792,0.186929,-0.577127,0.274980,0.576024,0.497569,0.148410,-0.422808,0.311603,-0.642389,-0.449460,-0.237859,0.063328,0.309388,0.071067,-0.105400,-0.147600,0.438933,-0.145683,-0.172258,-0.339881,0.369163,0.280770,-0.143474,-0.319125,0.035063,0.016105,-0.255240,0.462596,-0.306077,-0.081968,0.382238,-0.134680,0.267254,0.034429,-0.113741,0.502359,-0.175023,0.354271,-0.260430,-0.224670
-0.414541,0.223021,-0.089610,0.407341,0.038355,0.515344,-0.267549,0.381343,0.292567,0.283898,0.375001,0.340138,0.151523,-0.301138,-0.332483,0.489838,0.238762,0.499089,0.057622,-0.314906,-0.261192,0.198549,0.036038,-0.203405,0.074169,-0.368344,0.200589,-0.238791,0.360120,-0.016656,0.045777,-0.504958,-0.505689,-0.088737,-0.006354,0.176867,-0.155599,0.262814,0.461330,0.306468,-0.467654,0.145982,-0.272822,-0.255966,0.388273,-0.294301,0.006035,0.174702,0.290277,0.130929,-0.393884,-0.160346,0.021822,-0.340722,-0.052697,-0.468777,-0.421070,-0.112474,-0.323774,0.100006,0.226908,0.354723,-0.194236,-0.335015,-0.359238,0.262313,0.224182,-0.540354,0.412979,-0.388479,0.142440,0.266910,0.399437,0.245128,0.373665,-0.140805,0.423515,-0.265325,0.447800,0.032365,0.348033,0.095692,0.201224,0.076546,0.302396,-0.371067,-0.378361,-0.305881,-0.335636,0.518189,-0.176705,0.495555,-0.159549,-0.171736,0.349049,0.220250,0.047117,0.107762,0.377738,-0.219685,0.317325,0.426549,0.066857,-0.316642,0.259255,-0.339890,-0.413164,-0.175826,0.016269,0.456649,0.335815,0.296531,-0.160062,-0.223127,-0.020633,0.644073,-0.290435,0.528932,0.204942,-0.032573,0.284454
-0.091237,0.318119,0.354621,-0.084905,-0.210179,0.090716,0.448606,-0.226505,0.255060,0.072022,0.148818,-0.365586,0.205906,0.359250,-0.340884,-0.219863,0.534172,-0.107855,0.459849,0.185336,-0.343255,0.294724,-0.044530,0.108962,-0.195106,0.036573,-0.367453,-0.225678,0.398702,-0.377707,-0.005381,-0.231377,0.185017,-0.319085,0.348406,-0.128252,-0.341010,-0.487930,-0.324435,-0.043317,-0.296156,0.341154,-0.116068,-0.195283,0.179708,0.290433,-0.474105,-0.312221,-0.511553,0.173768,0.176182,-0.186936,0.189180,0.432000,0.142538,0.607177,-0.115060,-0.421141,-0.504802,-0.479189,-0.031881,0.394850,-0.469456,-0.556285,-0.181374,0.583568,-0.089924,0.214327,-0.354640,-0.479086,0.106301,0.402136,-0.560202,0.425990,0.132027,0.250316,-0.136685,0.073106,0.105941,0.286282,-0.311343,-0.506254,-0.328200,0.125623,-0.384005,0.136846,0.435671,-0.549859,0.050015,-0.001919,0.508467,-0.102094,0.081554,0.218945,0.390383,0.144840,-0.063560,0.141962,0.522164,0.198281,-0.452565,0.417617,0.302886,0.191308,-0.410501,0.180917,-0.072245,0.117037,-0.450084,0.119361,0.512632,-0.396584,0.509323,-0.237720,0.305364,0.133954,-0.061265,0.364242,0.349480,-0.138934,-0.250106
0.323777,0.384061,0.402809,0.431664,0.111116,0.563009,-0.135686,0.281210,-0.195975,-0.061496,-0.106799,-0.068286,0.310629,-0.068899,0.051806,-0.234909,-0.127094,-0.232363,-0.336368,0.069232,0.197498,0.084970,-0.036088,-0.110208,0.464941,0.073006,0.043711,-0.441557,-0.205947,-0.132662,-0.019151,0.082700,-0.006326,0.100776,0.265477,0.292912,0.336063,0.510305,-0.442592,-0.206625,-0.518158,0.097174,0.524473,-0.298882,0.374291,-0.354598,0.365094,-0.124699,-0.251447,0.037193,-0.197029,-0.166152,-0.204544,0.326623,0.111340,-0.147760,0.206413,0.291598,-0.301087,-0.056781,-0.223044,-0.252722,0.229711,-0.210876,0.001550,0.153744,-0.395215,-0.001594,-0.234428,0.456236,-0.059302,0.373189,0.195807,-0.390801,0.121770,0.501679,0.054592,0.259913,0.384922,-0.354270,-0.222670,0.137542,-0.059989,0.427271,0.583345,-0.106723,-0.322504,0.284394,-0.132173,0.247740,-0.002534,0.096433,-0.351561,0.129940,-0.024888,0.174261,-0.176126,0.225633,0.325308,-0.289205,-0.404973,-0.437396,0.138883,0.054689,0.076459,-0.223738,-0.096456,0.182930,0.132607,0.581076,-0.334631,0.331475,0.008778,-0.030004,0.282688,0.292538,0.616874,-0.282619,-0.311790,0.316083,0.203596
0.059807,-0.203351,-0.222764,0.542684,-0.289570,-0.018686,-0.111637,0.006339,-0.260322,0.182122,-0.251219,0.468161,-0.023562,0.132046,0.369164,0.192157,-0.008167,-0.126813,-0.119526,0.248132,0.547421,0.164629,0.169898,0.286175,0.112498,-0.283593,0.078242,0.408140,-0.393279,0.280226,-0.232540,0.094591,-0.395906,-0.080391,0.307226,-0.064804,0.326057,0.494786,0.448296,-0.290004,-0.115164,-0.288130,0.566122,0.431183,0.118233,0.395106,0.062487,0.233529,-0.189646,0.438006,-0.344814,0.351194,0.191191,0.135370,-0.396020,-0.232822,-0.165230,-0.003338,-0.380910,0.552906,0.337908,0.004200,-0.075733,-0.063179,0.091320,-0.150376,0.438120,-0.031258,0.549846,0.392551,-0.222800,0.561616,-0.163104,0.517753,-0.114992,0.330142,0.411045,0.192946,0.322353,-0.201505,-0.329967,-0.061396,-0.293614,0.336583,0.132309,0.685633,0.153596,0.236161,-0.354697,0.387482,0.383824,0.023475,0.178759,0.165349,-0.301176,0.248726,0.174304,-0.175674,-0.124140,-0.470593,-0.508269,-0.389609,0.436623,0.120007,0.437481,-0.116133,-0.075093,0.204935,0.191377,-0.159755,0.220010,-0.215804,0.215132,0.270796,-0.206763,-0.409593,0.347508,0.008898,-0.285508,0.762000,-0.156517
0.092367,0.459979,-0.309540,-0.341525,-0.355762,-0.119965,-0.355885,0.370563,-0.366212,0.068048,0.554499,0.291919,0.110916,-0.197258,0.077343,-0.094549,-0.194990,-0.346517,0.468004,-0.018428,-0.496062,-0.227422,-0.085099,0.332496,0.202291,0.271137,-0.434980,-0.206430,-0.032740,-0.305866,-0.190185,0.405332,-0.371601,-0.106408,-0.293078,-0.447627,-0.282868,0.446176,0.298298,0.498217,0.100254,-0.258589,-0.053972,0.058022,0.398464,-0.427626,-0.083960,-0.284868,-0.239510,0.220172,-0.047689,-0.236833,-0.058528,0.107930,0.219164,0.704385,0.418366,0.214844,-0.069931,0.226969,-0.141165,-0.267322,0.289293,-0.628222,0.436219,0.004299,0.145730,0.311512,0.501226,0.047305,0.129440,-0.451291,-0.068143,-0.336164,0.226941,0.023893,0.221953,-0.272750,-0.379672,0.266320,-0.361690,-0.515803,-0.472936,0.434368,0.143638,-0.180701,-0.175618,-0.070755,0.050240,0.355639,-0.291871,-0.335613,-0.420599,0.086535,0.184630,-0.291294,-0.551702,-0.393428,0.713287,-0.057519,0.127932,0.106270,-0.126404,-0.165651,-0.413119,0.072252,0.245757,0.089562,-0.002379,-0.430775,0.491621,0.322607,-0.188988,0.507307,0.140033,0.157187,0.294882,0.166149,-0.036207,-0.469818,-0.220761
0.522045,-0.232159,-0.123581,-0.143721,-0.060736,0.139255,0.527637,-0.177136,-0.333925,-0.315957,0.312444,0.177969,-0.101249,0.446981,0.464476,0.193835,0.338833,-0.211157,0.427299,0.020582,0.258420,0.118591,0.239111,0.256839,-0.155091,0.157526,0.603508,0.348314,-0.512248,-0.355725,-0.239860,0.268411,0.316445,-0.395238,-0.001166,0.445933,0.357567,0.166745,0.200391,-0.051520,-0.299977,0.082129,0.336059,0.482702,0.055452,0.156870,-0.288364,0.078781,-0.332120,-0.158738,0.317428,0.458291,-0.437711,-0.109620,0.282074,-0.189586,0.074617,0.201289,0.175112,-0.245402,-0.030533,0.351978,0.172112,-0.439167,0.348774,-0.459566,0.214650,-0.265204,0.479441,-0.152633,-0.122400,-0.218005,-0.075358,0.419846,0.582200,-0.067550,-0.016386,0.178350,0.296216,0.027044,-0.059722,-0.133838,0.235932,-0.422163,0.213903,-0.132693,0.351173,-0.321879,0.178733,-0.111209,0.059652,-0.441186,0.100163,0.002498,0.073941,0.185489,0.270042,0.252370,-0.217893,0.371735,0.040257,-0.475099,-0.473751,-0.048893,0.350884,0.140538,0.249734,0.075070,0.030499,-0.357567,-0.139911,-0.047940,-0.366453,-0.255158,0.116532,0.272897,0.581415,0.437153,0.163628,-0.033127,0.228236
0.271097,-0.350638,-0.109868,0.367776,-0.039459,0.169730,0.162999,-0.294453,-0.143887,-0.214855,-0.497068,-0.470855,0.343424,-0.151650,0.055677,-0.047095,0.415624,-0.232321,0.081362,0.561477,0.359669,-0.451972,0.213544,-0.062815,0.012709,-0.312328,-0.297409,0.207840,-0.067546,0.019413,0.164557,0.301806,-0.306762,-0.042041,-0.444534,0.253592,0.173180,0.507613,-0.372086,-0.580100,-0.353467,-0.141429,-0.330788,0.350150,-0.156700,-0.405433,0.218662,-0.038235,0.241233,-0.400760,0.104892,-0.562223,-0.486602,0.572814,-0.439688,0.184401,-0.024604,-0.226331,0.295238,-0.451499,0.185574,0.416115,0.093460,0.295009,-0.407328,0.096228,-0.097020,0.379397,0.653828,-0.242206,0.056270,-0.250638,0.051749,-0.006810,0.478278,-0.000716,-0.105287,-0.198579,-0.487788,-0.224178,-0.071897,0.324830,0.075110,-0.017640,-0.368602,0.388641,0.216875,-0.595916,0.299658,0.149709,-0.580849,0.033468,0.123228,-0.195903,0.446573,0.314106,0.154915,-0.038421,-0.122485,0.095091,0.064500,-0.307055,-0.153688,0.207961,0.090469,-0.319289,0.239279,-0.436949,-0.246904,-0.381981,-0.189376,0.267321,0.033797,-0.365220,0.311182,0.354131,0.366027,-0.087591,0.066225,0.483554,0.248081
-0.343108,-0.343526,0.043532,0.456258,0.064424,0.080105,-0.239272,0.278694,0.401142,-0.168560,0.231336,0.549712,-0.161452,0.113623,-0.203565,0.259025,0.059096,0.167306,0.410899,0.020260,0.440555,-0.049492,-0.386014,0.304917,0.412484,-0.093657,0.365936,0.349864,-0.268512,0.440643,-0.268790,-0.232057,-0.331524,0.340763,0.127623,-0.223370,0.069822,0.217632,-0.324042,0.333774,0.267557,-0.028803,0.498851,-0.031538,0.448360,0.123785,0.120831,-0.203351,0.495818,0.028566,-0.259312,-0.521306,0.027271,0.011430,0.154201,0.370730,-0.340410,0.146602,-0.283499,0.495368,0.480383,0.125189,0.255514,-0.164803,-0.032447,0.365267,-0.023949,-0.179461,-0.001664,0.228665,-0.135318,-0.192698,0.341036,0.414631,-0.325302,-0.243573,-0.362167,-0.161217,-0.054823,0.232052,0.196708,-0.024162,-0.132506,0.461869,0.102808,0.556122,0.209857,-0.385576,0.212854,-0.158649,0.193258,-0.397072,-0.267476,0.222012,-0.257257,0.470976,-0.090751,0.229588,0.203084,-0.036125,-0.158597,-0.285164,-0.423998,-0.168901,0.152276,0.369791,0.350737,0.360729,0.424281,0.222467,-0.173421,0.385514,0.223360,0.121510,-0.324980,0.036325,0.002638,0.429379,0.159395,0.010496,0.605524
