Epoca,MSE
456,1.440300
457,1.440299
458,1.440298
459,1.440297
460,1.440296
461,1.440295
462,1.440294
463,1.440293
464,1.440292
465,1.440292
466,1.440291
467,1.440290
468,1.440289
469,1.440288
470,1.440287
471,1.440287
472,1.440286
473,1.440285
474,1.440284
475,1.440283
476,1.440283
477,1.440282
478,1.440281
479,1.440280
480,1.440280
481,1.440279
482,1.440278
483,1.440277
484,1.440277
485,1.440276
486,1.440275
487,1.440275
488,1.440274
489,1.440273
490,1.440273
